date,type,name,author,publish,rating,comment,count
8/19/23,book,那不勒斯四部曲,E. Ferrante,2018,10,新颖的视角，细腻的文笔,1000000
8/26/23,book,存在主义咖啡馆,S. Bakewell,2016,7,不错的入门书,400000
9/14/23,book,德米安：彷徨少年时,H. Hesse,1919,7,虽然有很多名言警句，但依然不是很能理解这种精神状态,84000
10/6/23,book,存在主义是一种人道主义,J.P. Sartre,1946,10,醍醐灌顶,14000
1/10/24,book,论中国,H. Kissinger,2011,8,中美关系/20世纪新中国史入门,339000
1/19/24,book,1968 撞击世界的年代,M. Kurlansky,2009,8,非常详尽的1968年世界学运史,354000
2/17/24,book,Warhol,K. Honnef,2000,8,不错的书。着重于对Warhol艺术概念的介绍，挺有启发性的，图很好看，内容更多点就好了。虽然本来买了是想看VU的八卦——八卦是一点都没有,NA
2/17/24,book,UNCUT ultimate genre guide shoegaze,UNCUT,2021,8,粉丝狂喜的一本杂志。对想了解这个流派的人也很有帮助,NA
3/13/24,book,Creation Stories,A. McGee,2013,4,如果你不是和我一样是一位正在绝望地从全世界找资料给盯鞋乐队拉磨的同人女的话，这本书真的没什么看的必要。讲McGee嗑昏过去的部份比讲怎么运营乐队的部份多,80000
5/9/24,book,霍乱时期的爱情,G. Marquez,1985,9,重读依旧很喜欢,284000
5/26/24,book,仿生人会梦见电子羊吗,P. Dick,1968,9,相当不错的小说,139000
12/13/24,book,我们最幸福,B. Demick,2009,9,除了朝鲜的部分，这些脱北者开启新生活的决心也让人印象深刻。女性真是坚强啊,200000
12/26/24,book,倚天屠龙记,金庸,1961,7,感觉也没什么特别打动人的地方，那种文笔挺好的龙傲天小说即视感，四个妹妹已成梗,1170000
2/5/25,book,小径分岔的花园,J.L. Borges,1941,8,意境很美的小说,6500
3/5/25,book,蜘蛛女之吻,M. Puig,1976,10,结构精巧，内容动人的小说，两位主角都是那么的惹人喜爱…,166000
8/15/25,book,九故事,J.D. Salinger,1953,10,充满禅意的杰作，让人后悔自己没在青春期读到它们,102000
